,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,€,Gldani,Saburtalo,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
0,0,14-03-2020 11:00:42,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.15 G,True,1,нет,Тбилиси,0.15 гр,0.0243,10978,4034,351,150.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.15 G
1,1,14-03-2020 11:00:42,Tbilisi,8ec76151d3,Metadon VHQ 0.25 24/7,True,14,нет,Тбилиси,0.25 гр,0.0277,13906,5109,445,190.0,,,,,,,,,,,,Metadon VHQ 0.25 24/7
2,2,14-03-2020 11:00:42,Tbilisi,8a650ecf5f,"Метадон VHQ 0,25",True,16,нет,Тбилиси,0.25 гр,0.0257,11710,4302,374,160.0,,,,,,,,,,,,"Metadon VHQ 0,25"
3,3,14-03-2020 11:00:42,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.30 G,True,3,3,Тбилиси,0.3 гр,0.0486,21956,8067,702,300.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.30 G
4,4,14-03-2020 11:00:42,Tbilisi,8ddca45a78,"0,5g BLUE CHEESE Indica THC 18% / BTC -5% sale",True,1,нет,Тбилиси,0.5 гр,0.0038,1830,672,59,25.0,,,,,,,,,,,,"0,5g BLUE CHEESE Indica THC 18% / BTC -5% sale"
5,5,14-03-2020 11:00:42,Tbilisi,1c14effaaa,Silver Haze | 90% sativa 10% indica | 0.5g,True,1,нет,Тбилиси,0.5 гр,0.0044,2196,807,70,30.0,,,,,,,,,,,,Silver Haze | 90% sativa 10% indica | 0.5g
6,6,14-03-2020 11:00:42,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано 0.5г.,True,8,нет,Тбилиси,0.5 гр,0.0048,2196,807,70,30.0,,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano 0.5g.
7,7,14-03-2020 11:00:42,Tbilisi,4a91350669,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,5,нет,Тбилиси,1 гр,0.008,3659,1345,117,50.0,,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
8,8,14-03-2020 11:00:42,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,3,нет,Тбилиси,1 гр,0.0072,3293,1210,105,45.0,True,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
9,9,14-03-2020 11:00:42,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,8,нет,Тбилиси,1 гр,0.0136,6221,2286,199,85.0,,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
